,store name,name,ingredient,pbc_count,pork,beef,chiken
0,Mrpizza,햄벅한새우, 돼지고기 쇠고기 ,2,o,o,x
1,Mrpizza,미스터트리오, 돼지고기 쇠고기 ,2,o,o,x
2,Mrpizza,아모르파티, 돼지고기 쇠고기 ,2,o,o,x
3,Mrpizza,아모르파티 쉬림프, 돼지고기 쇠고기 ,2,o,o,x
4,Mrpizza,씨푸드아일랜드, 돼지고기 쇠고기 ,2,o,o,x
5,Mrpizza,페퍼로니 플러스, 돼지고기 쇠고기 ,2,o,o,x
6,Mrpizza,하와이안스페셜, 돼지고기 ,1,o,x,x
7,Mrpizza,치즈블라썸스테이크, 돼지고기 쇠고기 ,2,o,o,x
8,Mrpizza,새우천왕, 돼지고기 쇠고기 ,2,o,o,x
9,Mrpizza,콤비네이션, 돼지고기 쇠고기 ,2,o,o,x
10,Mrpizza,페퍼로니, 돼지고기 쇠고기 ,2,o,o,x
11,Mrpizza,러블리피스, 쇠고기 ,1,x,o,x
12,Mrpizza,스윗피스, 돼지고기 ,1,o,x,x
13,Mrpizza,로맨틱콤보, 돼지고기 쇠고기 ,2,o,o,x
14,Mrpizza,포테이토골드, 돼지고기 쇠고기 ,2,o,o,x
15,Mrpizza,쉬림프골드, 돼지고기 쇠고기 ,2,o,o,x
16,Mrpizza,하프앤하프, 돼지고기 쇠고기 ,2,o,o,x
17,Mrpizza,불고기피자, 돼지고기 쇠고기 ,2,o,o,x
18,Mrpizza,포테이토, 돼지고기 쇠고기 ,2,o,o,x
19,Mrpizza,JMT치킨버거, 닭고기 ,1,x,x,o
20,Mrpizza,풀드포크, 돼지고기 ,1,o,x,x
21,Mrpizza,올댓미트, 돼지고기 닭고기 ,2,o,x,o
22,Mrpizza,맵킹닭다리, 닭고기 ,1,x,x,o
23,Mrpizza,킹닭다리, 닭고기 ,1,x,x,o
24,Mrpizza,케이준치킨샐러드, 닭고기 ,1,x,x,o
25,Mrpizza,베이크윙 / 핫윙, 닭고기 ,1,x,x,o
26,Mrpizza,크리스피텐더치킨 / 하프치킨, 닭고기 ,1,x,x,o
27,Mrpizza,베이컨 크림리조또, 돼지고기 ,1,o,x,x
28,Mrpizza,오븐미트스파게티, 돼지고기 ,1,o,x,x
29,Mrpizza,오븐치즈베이컨크림스파게티, 돼지고기 ,1,o,x,x
30,Mrpizza,샐러드바 메뉴, 돼지고기 닭고기 ,2,o,x,o
31,Mrpizza,The 오븐치킨, 닭고기 ,1,x,x,o
32,Mrpizza,하프치킨 (오븐치킨 반마리), 닭고기 ,1,x,x,o
33,Mrpizza,쉬림프 까르보나라, 돼지고기 ,1,o,x,x
34,Mrpizza,불고기샌드, 쇠고기 ,1,x,o,x
35,Mrpizza,쉬골샌드, 돼지고기 쇠고기 ,2,o,o,x
36,Mrpizza,포골샌드, 돼지고기 쇠고기 ,2,o,o,x
37,papa_john's,미트볼 페퍼로니 , 돼지고기 쇠고기 ,2,o,o,x
38,papa_john's,맥앤치즈 베이컨 피자 , 돼지고기 ,1,o,x,x
39,papa_john's,위스콘신 치즈 포테이토 피자 , 돼지고기 쇠고기 ,2,o,o,x
40,papa_john's,갈릭 페퍼 스테이크 , 쇠고기 ,1,x,o,x
41,papa_john's,수퍼 파파스 , 돼지고기 쇠고기 ,2,o,o,x
42,papa_john's,아이리쉬 포테이토 , 돼지고기 ,1,o,x,x
43,papa_john's,치킨 바베큐 , 돼지고기 닭고기 ,2,o,x,o
44,papa_john's,핫 치킨 바베큐, 돼지고기 닭고기 ,2,o,x,o
45,papa_john's,스파이시 치킨랜치 , 돼지고기 닭고기 ,2,o,x,o
46,papa_john's,존스 페이버릿 , 돼지고기 쇠고기 ,2,o,o,x
47,papa_john's,페퍼로니, 돼지고기 쇠고기 ,2,o,o,x
48,papa_john's,하와이안 , 돼지고기 ,1,o,x,x
49,papa_john's,핫 앤 스파이시 멕시칸 , 쇠고기 ,1,x,o,x
50,papa_john's,올미트 , 돼지고기 쇠고기 ,2,o,o,x
51,papa_john's,스파이시 이탈리안 , 돼지고기 쇠고기 ,2,o,o,x
52,papa_john's,치킨 수퍼파파스 , 닭고기 ,1,x,x,o
53,papa_john's,더블 치즈버거 , 쇠고기 ,1,x,o,x
54,papa_john's,프리미엄 직화 불고기, 쇠고기 ,1,x,o,x
55,papa_john's,멜로우 머쉬룸 , 닭고기 ,1,x,x,o
56,papa_john's,슈림프 알프레도 , 닭고기 ,1,x,x,o
57,papa_john's,치킨 스트립 , 닭고기 ,1,x,x,o
58,papa_john's,파파스 윙 , 닭고기 ,1,x,x,o
59,papa_john's,파파스 파스타 (미트), 돼지고기 쇠고기 ,2,o,o,x
60,papa_john's,파파스 파스타 (화이트), 돼지고기 ,1,o,x,x
